StartDate,open
2019-06-19,31.42
2019-06-20,31.02
2019-06-21,31.97
2019-06-22,31.97
2019-06-23,31.97
2019-06-24,32.58
2019-06-25,33.97
2019-06-26,33.0
2019-06-27,34.68
2019-06-28,34.79
2019-06-29,34.79
2019-06-30,34.79
2019-07-01,34.89
2019-07-02,34.52
2019-07-03,34.43
2019-07-04,34.98
2019-07-05,36.26
2019-07-06,36.26
2019-07-07,36.26
2019-07-08,35.95
2019-07-09,35.18
2019-07-10,35.98
2019-07-11,35.8
2019-07-12,35.63
2019-07-13,35.63
2019-07-14,35.63
2019-07-15,35.26
2019-07-16,34.33
2019-07-17,34.69
2019-07-18,35.33
2019-07-19,34.88
2019-07-20,34.88
2019-07-21,34.88
2019-07-22,34.7
2019-07-23,34.94
2019-07-24,34.1
2019-07-25,34.38
2019-07-26,34.52
2019-07-27,34.52
2019-07-28,34.52
2019-07-29,34.52
2019-07-30,34.99
2019-07-31,35.74
2019-08-01,34.85
2019-08-02,33.8
2019-08-03,33.8
2019-08-04,33.8
2019-08-05,33.51
2019-08-06,32.29
2019-08-07,32.82
2019-08-08,35.0
2019-08-09,35.53
2019-08-10,35.53
2019-08-11,35.53
2019-08-12,36.07
2019-08-13,37.25
2019-08-14,34.75
2019-08-15,32.3
2019-08-16,32.6
2019-08-17,32.6
2019-08-18,32.6
2019-08-19,33.28
2019-08-20,33.19
2019-08-21,32.61
2019-08-22,33.0
2019-08-23,33.24
2019-08-24,33.24
2019-08-25,33.24
2019-08-26,32.44
2019-08-27,32.48
2019-08-28,33.7
2019-08-29,34.18
2019-08-30,34.65
2019-08-31,34.65
2019-09-01,34.65
2019-09-02,33.6
2019-09-03,34.79
2019-09-04,34.88
2019-09-05,36.0
2019-09-06,37.52
2019-09-07,37.52
2019-09-08,37.52
2019-09-09,36.3
2019-09-10,36.78
2019-09-11,37.76
2019-09-12,36.94
2019-09-13,36.94
2019-09-14,36.94
2019-09-15,36.94
2019-09-16,37.97
2019-09-17,37.4
2019-09-18,36.65
2019-09-19,37.66
2019-09-20,38.38
2019-09-21,38.38
2019-09-22,38.38
2019-09-23,37.71
2019-09-24,36.99
2019-09-25,36.79
2019-09-26,37.2
2019-09-27,36.12
2019-09-28,36.12
2019-09-29,36.12
2019-09-30,36.52
2019-10-01,36.52
2019-10-02,36.52
2019-10-03,36.52
2019-10-04,36.52
2019-10-05,36.52
2019-10-06,36.52
2019-10-07,36.52
2019-10-08,35.88
2019-10-09,37.03
2019-10-10,36.82
2019-10-11,38.4
2019-10-12,38.4
2019-10-13,38.4
2019-10-14,38.54
2019-10-15,39.0
2019-10-16,39.85
2019-10-17,40.38
2019-10-18,40.37
2019-10-19,40.37
2019-10-20,40.37
2019-10-21,39.49
2019-10-22,38.98
2019-10-23,39.7
2019-10-24,40.97
2019-10-25,39.66
2019-10-26,39.66
2019-10-27,39.66
2019-10-28,39.7
2019-10-29,43.5
2019-10-30,48.0
2019-10-31,46.51
2019-11-01,45.55
2019-11-02,45.55
2019-11-03,45.55
2019-11-04,48.1
2019-11-05,50.35
2019-11-06,53.2
2019-11-07,57.0
2019-11-08,55.88
2019-11-09,55.88
2019-11-10,55.88
2019-11-11,54.82
2019-11-12,53.3
2019-11-13,54.0
2019-11-14,56.45
2019-11-15,57.88
2019-11-16,57.88
2019-11-17,57.88
2019-11-18,53.17
2019-11-19,54.38
2019-11-20,55.74
2019-11-21,53.93
2019-11-22,53.5
2019-11-23,53.5
2019-11-24,53.5
2019-11-25,53.95
2019-11-26,51.09
2019-11-27,51.5
2019-11-28,51.0
2019-11-29,51.3
2019-11-30,51.3
2019-12-01,51.3
2019-12-02,50.95
