date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-06-19,31.42,32.0,31.15,30.94,10196.39,0.05,0.16,31.15,31.15,31.15,10196.39,10196.39,10196.39,3.31
2019-06-20,31.02,32.06,31.89,30.89,7192.1,0.74,2.38,31.52,31.52,31.52,8694.25,8694.25,8694.25,2.33
2019-06-21,31.97,32.45,32.0,31.73,5794.39,0.11,0.34,31.68,31.68,31.68,7727.63,7727.63,7727.63,1.88
2019-06-24,32.58,34.0,33.88,32.11,14843.0,1.88,5.88,32.23,32.23,32.23,9506.47,9506.47,9506.47,4.82
2019-06-25,33.97,33.97,33.28,32.7,8129.08,-0.6,-1.77,32.44,32.44,32.44,9230.99,9230.99,9230.99,2.64
2019-06-26,33.0,34.84,34.8,32.81,7705.56,1.52,4.57,33.17,32.833,32.833,8732.83,8976.75,8976.75,2.5
2019-06-27,34.68,35.0,35.0,34.32,5165.14,0.2,0.57,33.792,33.143,33.143,8327.43,8432.24,8432.24,1.68
2019-06-28,34.79,35.5,34.43,34.04,5638.99,-0.57,-1.63,34.278,33.304,33.304,8296.35,8083.08,8083.08,1.83
2019-07-01,34.89,35.19,34.7,34.46,4652.32,0.27,0.78,34.442,33.459,33.459,6258.22,7701.89,7701.89,1.51
2019-07-02,34.52,34.62,34.46,33.85,5889.0,-0.24,-0.69,34.678,33.559,33.559,5810.2,7520.6,7520.6,1.91
2019-07-03,34.43,35.5,34.95,34.23,7924.35,0.49,1.42,34.708,33.939,33.685,5853.96,7293.39,7557.3,2.57
2019-07-04,34.98,36.7,36.26,34.98,8219.17,1.31,3.75,34.96,34.376,33.9,6464.77,7396.1,7612.46,2.67
2019-07-05,36.26,36.48,35.78,35.48,5727.06,-0.48,-1.32,35.23,34.754,34.045,6482.38,7389.37,7467.43,1.86
2019-07-08,35.95,36.06,35.0,34.52,6161.5,-0.78,-2.18,35.29,34.866,34.113,6784.22,6521.22,7374.15,2.0
2019-07-09,35.18,36.28,35.51,34.83,7289.35,0.51,1.46,35.5,35.089,34.206,7064.29,6437.24,7368.49,2.37
2019-07-10,35.98,36.28,35.66,35.03,3373.17,0.15,0.42,35.642,35.175,34.297,6154.05,6004.01,7118.79,1.09
2019-07-11,35.8,36.18,35.11,34.36,8575.0,-0.55,-1.54,35.412,35.186,34.345,6225.22,6344.99,7204.45,2.78
2019-07-12,35.63,35.88,34.92,34.5,3924.0,-0.19,-0.54,35.24,35.235,34.377,5864.6,6173.49,7022.2,1.27
2019-07-15,35.26,35.26,34.55,34.33,5253.07,-0.37,-1.06,35.15,35.22,34.386,5682.92,6233.57,6929.09,1.7
2019-07-16,34.33,34.9,34.55,34.23,2215.0,0.0,0.0,34.958,35.229,34.394,4668.05,5866.17,6693.38,0.72
2019-07-17,34.69,35.99,35.6,34.65,4567.6,1.05,3.04,34.946,35.294,34.617,4906.93,5530.49,6411.94,1.48
2019-07-18,35.33,35.85,34.87,34.6,4817.0,-0.73,-2.05,34.898,35.155,34.766,4155.33,5190.28,6293.19,1.56
2019-07-19,34.88,35.27,35.15,34.13,2936.42,0.28,0.8,34.944,35.092,34.923,3957.82,4911.21,6150.29,0.95
2019-07-22,34.7,35.17,34.9,33.36,5099.01,-0.25,-0.71,35.014,35.082,34.974,3927.01,4804.96,5663.09,1.65
2019-07-23,34.94,35.29,33.82,33.5,4159.31,-1.08,-3.1,34.868,34.913,35.001,4315.87,4491.96,5464.6,1.35
2019-07-24,34.1,35.18,34.58,33.63,3908.73,0.76,2.25,34.664,34.805,34.99,4184.09,4545.51,5274.76,1.27
2019-07-25,34.38,34.89,34.75,34.05,2690.0,0.17,0.49,34.64,34.769,34.978,3758.69,3957.01,5151.0,0.87
2019-07-26,34.52,35.14,34.66,34.51,1796.27,-0.09,-0.26,34.542,34.743,34.989,3530.66,3744.24,4958.87,0.58
2019-07-29,34.52,35.2,34.9,34.45,2622.47,0.24,0.69,34.542,34.778,34.999,3035.36,3481.18,4857.37,0.85
2019-07-30,34.99,35.47,35.4,34.62,4450.0,0.5,1.43,34.858,34.863,35.046,3093.49,3704.68,4785.42,1.44
2019-07-31,35.74,35.74,34.6,34.0,5409.4,-0.8,-2.26,34.862,34.763,35.029,3393.63,3788.86,4659.68,1.76
2019-08-01,34.85,34.85,33.97,33.91,3215.0,-0.63,-1.82,34.706,34.673,34.914,3498.63,3628.66,4409.47,1.04
2019-08-02,33.8,34.05,33.52,32.81,4656.21,-0.45,-1.32,34.478,34.51,34.801,4070.62,3800.64,4355.93,1.51
2019-08-05,33.51,33.82,32.54,32.11,4792.0,-0.98,-2.92,34.006,34.274,34.678,4504.52,3769.94,4287.45,1.56
2019-08-06,32.29,33.51,33.31,31.33,6708.0,0.77,2.37,33.588,34.223,34.568,4956.12,4024.81,4258.38,2.18
2019-08-07,32.82,35.29,35.02,32.82,7395.55,1.71,5.13,33.672,34.267,34.536,5353.35,4373.49,4459.5,2.4
2019-08-08,35.0,35.53,35.5,34.49,3534.32,0.48,1.37,33.978,34.342,34.556,5417.22,4457.92,4207.47,1.15
